Steppingstone sampler:
        No Stones:                  100
        Start It:                   1010001
        It Per Stone:               1000
        Sample Freq:                1
        Dist:                       Beta(0.400000,1.000000)
Stone No	Power	N	Stone MLh	Running MLh
0	0.975187	750	46.820691	46.820691
1	0.950747	750	46.114717	92.935408
2	0.926679	750	45.413959	138.349367
3	0.902980	750	44.714775	183.064143
4	0.879648	750	44.018416	227.082558
5	0.856682	750	43.333792	270.416350
6	0.834079	750	42.640330	313.056680
7	0.811838	750	41.961566	355.018247
8	0.789957	750	41.283738	396.301984
9	0.768433	750	40.612430	436.914414
10	0.747266	750	39.933335	476.847749
11	0.726452	750	39.265574	516.113323
12	0.705989	750	38.599701	554.713023
13	0.685877	750	37.941136	592.654159
14	0.666112	750	37.284683	629.938842
15	0.646693	750	36.617745	666.556587
16	0.627618	750	35.984126	702.540713
17	0.608884	750	35.329712	737.870425
18	0.590490	750	34.695037	772.565463
19	0.572433	750	34.055374	806.620837
20	0.554712	750	33.428954	840.049792
21	0.537324	750	32.793149	872.842940
22	0.520268	750	32.176741	905.019681
23	0.503540	750	31.540797	936.560478
24	0.487139	750	30.932028	967.492507
25	0.471063	750	30.314743	997.807250
26	0.455310	750	29.710373	1027.517623
27	0.439877	750	29.099925	1056.617548
28	0.424762	750	28.501169	1085.118717
29	0.409963	750	27.900459	1113.019176
30	0.395478	750	27.311805	1140.330981
31	0.381305	750	26.726166	1167.057147
32	0.367440	750	26.139594	1193.196741
33	0.353883	750	25.559798	1218.756539
34	0.340630	750	24.985979	1243.742519
35	0.327680	750	24.415601	1268.158120
36	0.315030	750	23.842286	1292.000406
37	0.302677	750	23.280320	1315.280726
38	0.290619	750	22.715590	1337.996316
39	0.278855	750	22.170560	1360.166875
40	0.267381	750	21.609183	1381.776059
41	0.256195	750	21.078652	1402.854711
42	0.245294	750	20.522654	1423.377364
43	0.234677	750	20.002540	1443.379905
44	0.224340	750	19.464630	1462.844534
45	0.214281	750	18.934393	1481.778927
46	0.204498	750	18.421078	1500.200005
47	0.194988	750	17.901129	1518.101134
48	0.185749	750	17.391171	1535.492305
49	0.176777	750	16.878042	1552.370347
50	0.168070	750	16.388317	1568.758664
51	0.159626	750	15.899669	1584.658332
52	0.151441	750	15.396868	1600.055200
53	0.143514	750	14.913423	1614.968623
54	0.135841	750	14.422422	1629.391045
55	0.128420	750	13.953393	1643.344438
56	0.121247	750	13.479698	1656.824136
57	0.114320	750	13.024513	1669.848649
58	0.107637	750	12.570332	1682.418981
59	0.101193	750	12.112250	1694.531231
60	0.094986	750	11.641723	1706.172953
61	0.089014	750	11.207886	1717.380839
62	0.083273	750	10.759937	1728.140776
63	0.077760	750	10.334635	1738.475411
64	0.072472	750	9.904440	1748.379851
65	0.067406	750	9.482058	1757.861908
66	0.062558	750	9.054386	1766.916294
67	0.057926	750	8.678790	1775.595084
68	0.053506	750	8.269310	1783.864393
69	0.049295	750	7.855976	1791.720369
70	0.045289	750	7.471925	1799.192294
71	0.041485	750	7.091028	1806.283322
72	0.037880	750	6.689573	1812.972894
73	0.034469	750	6.316740	1819.289634
74	0.031250	750	5.972524	1825.262158
75	0.028218	750	5.588520	1830.850678
76	0.025370	750	5.258548	1836.109226
77	0.022702	750	4.921437	1841.030663
78	0.020209	750	4.572174	1845.602838
79	0.017889	750	4.230017	1849.832854
80	0.015736	750	3.914143	1853.746997
81	0.013746	750	3.603127	1857.350125
82	0.011916	750	3.186033	1860.536157
83	0.010240	750	2.923281	1863.459438
84	0.008714	750	2.641540	1866.100977
85	0.007334	750	2.362284	1868.463262
86	0.006093	750	2.041477	1870.504738
87	0.004988	750	1.669067	1872.173805
88	0.004013	750	1.390102	1873.563907
89	0.003162	750	0.950208	1874.514115
90	0.002430	750	-0.071922	1874.442193
91	0.001810	750	-0.165556	1874.276637
92	0.001296	750	-0.978244	1873.298393
93	0.000882	750	-0.861189	1872.437204
94	0.000559	750	-1.088828	1871.348376
95	0.000320	750	-0.686492	1870.661885
96	0.000156	750	-0.645423	1870.016461
97	0.000057	750	-0.431973	1869.584489
98	0.000010	750	-0.196655	1869.387834
99	0.000000	750	-0.040672	1869.347162
Log marginal likelihood:	1869.347162
