Steppingstone sampler:
        No Stones:                  100
        Start It:                   1010001
        It Per Stone:               1000
        Sample Freq:                1
        Dist:                       Beta(0.400000,1.000000)
Stone No	Power	N	Stone MLh	Running MLh
0	0.975187	750	46.842693	46.842693
1	0.950747	750	46.140150	92.982843
2	0.926679	750	45.439397	138.422239
3	0.902980	750	44.736414	183.158653
4	0.879648	750	44.041342	227.199995
5	0.856682	750	43.352174	270.552169
6	0.834079	750	42.669966	313.222136
7	0.811838	750	41.983090	355.205226
8	0.789957	750	41.302699	396.507925
9	0.768433	750	40.619434	437.127359
10	0.747266	750	39.956620	477.083979
11	0.726452	750	39.284710	516.368688
12	0.705989	750	38.628619	554.997307
13	0.685877	750	37.959483	592.956790
14	0.666112	750	37.301407	630.258197
15	0.646693	750	36.646704	666.904901
16	0.627618	750	36.000991	702.905893
17	0.608884	750	35.353555	738.259448
18	0.590490	750	34.708644	772.968091
19	0.572433	750	34.071031	807.039122
20	0.554712	750	33.444752	840.483875
21	0.537324	750	32.811517	873.295392
22	0.520268	750	32.185813	905.481205
23	0.503540	750	31.555242	937.036447
24	0.487139	750	30.950742	967.987189
25	0.471063	750	30.329779	998.316968
26	0.455310	750	29.724851	1028.041820
27	0.439877	750	29.105037	1057.146857
28	0.424762	750	28.520191	1085.667048
29	0.409963	750	27.920598	1113.587646
30	0.395478	750	27.321823	1140.909469
31	0.381305	750	26.735011	1167.644481
32	0.367440	750	26.157760	1193.802240
33	0.353883	750	25.573084	1219.375325
34	0.340630	750	25.005727	1244.381052
35	0.327680	750	24.425877	1268.806929
36	0.315030	750	23.859963	1292.666892
37	0.302677	750	23.297617	1315.964510
38	0.290619	750	22.736874	1338.701384
39	0.278855	750	22.184615	1360.885999
40	0.267381	750	21.627786	1382.513785
41	0.256195	750	21.080721	1403.594505
42	0.245294	750	20.544202	1424.138707
43	0.234677	750	20.016814	1444.155521
44	0.224340	750	19.475296	1463.630817
45	0.214281	750	18.949550	1482.580366
46	0.204498	750	18.422637	1501.003003
47	0.194988	750	17.916931	1518.919935
48	0.185749	750	17.404221	1536.324156
49	0.176777	750	16.909234	1553.233389
50	0.168070	750	16.393018	1569.626407
51	0.159626	750	15.897113	1585.523520
52	0.151441	750	15.402787	1600.926307
53	0.143514	750	14.917830	1615.844137
54	0.135841	750	14.443045	1630.287182
55	0.128420	750	13.955005	1644.242187
56	0.121247	750	13.490692	1657.732879
57	0.114320	750	13.031418	1670.764297
58	0.107637	750	12.549304	1683.313601
59	0.101193	750	12.108731	1695.422332
60	0.094986	750	11.657247	1707.079579
61	0.089014	750	11.221112	1718.300691
62	0.083273	750	10.772357	1729.073048
63	0.077760	750	10.357631	1739.430679
64	0.072472	750	9.897710	1749.328388
65	0.067406	750	9.495200	1758.823588
66	0.062558	750	9.068477	1767.892065
67	0.057926	750	8.676215	1776.568281
68	0.053506	750	8.261725	1784.830006
69	0.049295	750	7.869605	1792.699611
70	0.045289	750	7.470362	1800.169973
71	0.041485	750	7.058948	1807.228921
72	0.037880	750	6.704208	1813.933129
73	0.034469	750	6.362708	1820.295837
74	0.031250	750	5.973918	1826.269755
75	0.028218	750	5.614580	1831.884335
76	0.025370	750	5.270264	1837.154599
77	0.022702	750	4.903207	1842.057806
78	0.020209	750	4.577947	1846.635754
79	0.017889	750	4.221590	1850.857344
80	0.015736	750	3.922448	1854.779792
81	0.013746	750	3.570410	1858.350202
82	0.011916	750	3.253559	1861.603761
83	0.010240	750	2.920911	1864.524672
84	0.008714	750	2.573674	1867.098345
85	0.007334	750	2.076195	1869.174540
86	0.006093	750	1.924547	1871.099087
87	0.004988	750	1.578704	1872.677791
88	0.004013	750	1.319472	1873.997263
89	0.003162	750	0.323320	1874.320583
90	0.002430	750	0.354548	1874.675131
91	0.001810	750	-0.114019	1874.561113
92	0.001296	750	-0.126110	1874.435002
93	0.000882	750	-0.271383	1874.163619
94	0.000559	750	-0.327724	1873.835895
95	0.000320	750	-0.358467	1873.477427
96	0.000156	750	-0.392217	1873.085211
97	0.000057	750	-0.245279	1872.839932
98	0.000010	750	-0.108459	1872.731472
99	0.000000	750	-0.017707	1872.713765
Log marginal likelihood:	1872.713765
