Steppingstone sampler:
        No Stones:                  100
        Start It:                   1050001
        It Per Stone:               1000
        Sample Freq:                1
        Dist:                       Beta(0.400000,1.000000)
Stone No	Power	N	Stone MLh	Running MLh
0	0.975187	750	51.216118	51.216118
1	0.950747	750	50.442289	101.658407
2	0.926679	750	49.673683	151.332090
3	0.902980	750	48.908728	200.240818
4	0.879648	750	48.157360	248.398178
5	0.856682	750	47.397896	295.796075
6	0.834079	750	46.655962	342.452037
7	0.811838	750	45.905813	388.357850
8	0.789957	750	45.168050	433.525900
9	0.768433	750	44.418495	477.944395
10	0.747266	750	43.686677	521.631071
11	0.726452	750	42.953040	564.584111
12	0.705989	750	42.231462	606.815573
13	0.685877	750	41.508422	648.323995
14	0.666112	750	40.786405	689.110399
15	0.646693	750	40.074576	729.184975
16	0.627618	750	39.355481	768.540456
17	0.608884	750	38.658625	807.199081
18	0.590490	750	37.958530	845.157611
19	0.572433	750	37.266845	882.424456
20	0.554712	750	36.569328	918.993784
21	0.537324	750	35.869031	954.862815
22	0.520268	750	35.202880	990.065695
23	0.503540	750	34.512300	1024.577995
24	0.487139	750	33.832526	1058.410521
25	0.471063	750	33.169002	1091.579523
26	0.455310	750	32.498124	1124.077648
27	0.439877	750	31.838080	1155.915727
28	0.424762	750	31.179159	1187.094887
29	0.409963	750	30.528407	1217.623294
30	0.395478	750	29.879941	1247.503235
31	0.381305	750	29.234852	1276.738086
32	0.367440	750	28.596158	1305.334244
33	0.353883	750	27.957231	1333.291475
34	0.340630	750	27.335872	1360.627348
35	0.327680	750	26.701215	1387.328562
36	0.315030	750	26.084618	1413.413181
37	0.302677	750	25.472406	1438.885587
38	0.290619	750	24.864044	1463.749631
39	0.278855	750	24.251135	1488.000767
40	0.267381	750	23.648579	1511.649345
41	0.256195	750	23.058809	1534.708155
42	0.245294	750	22.470133	1557.178287
43	0.234677	750	21.881906	1579.060194
44	0.224340	750	21.302922	1600.363116
45	0.214281	750	20.728513	1621.091629
46	0.204498	750	20.159188	1641.250817
47	0.194988	750	19.581170	1660.831988
48	0.185749	750	19.040350	1679.872338
49	0.176777	750	18.478543	1698.350880
50	0.168070	750	17.938894	1716.289774
51	0.159626	750	17.394951	1733.684725
52	0.151441	750	16.853185	1750.537910
53	0.143514	750	16.310476	1766.848386
54	0.135841	750	15.789765	1782.638151
55	0.128420	750	15.264730	1797.902881
56	0.121247	750	14.742746	1812.645628
57	0.114320	750	14.248295	1826.893922
58	0.107637	750	13.742571	1840.636493
59	0.101193	750	13.239095	1853.875588
60	0.094986	750	12.737157	1866.612745
61	0.089014	750	12.266615	1878.879360
62	0.083273	750	11.787228	1890.666588
63	0.077760	750	11.328989	1901.995577
64	0.072472	750	10.839710	1912.835287
65	0.067406	750	10.385969	1923.221256
66	0.062558	750	9.937859	1933.159115
67	0.057926	750	9.471663	1942.630779
68	0.053506	750	9.039852	1951.670630
69	0.049295	750	8.608095	1960.278725
70	0.045289	750	8.189401	1968.468126
71	0.041485	750	7.756305	1976.224431
72	0.037880	750	7.351239	1983.575671
73	0.034469	750	6.912883	1990.488553
74	0.031250	750	6.552070	1997.040624
75	0.028218	750	6.152995	2003.193619
76	0.025370	750	5.768246	2008.961865
77	0.022702	750	5.393913	2014.355778
78	0.020209	750	5.006862	2019.362640
79	0.017889	750	4.652923	2024.015564
80	0.015736	750	4.290135	2028.305699
81	0.013746	750	3.948713	2032.254412
82	0.011916	750	3.572040	2035.826452
83	0.010240	750	3.215629	2039.042081
84	0.008714	750	2.828679	2041.870760
85	0.007334	750	2.543605	2044.414365
86	0.006093	750	2.167825	2046.582190
87	0.004988	750	1.728180	2048.310371
88	0.004013	750	1.280804	2049.591175
89	0.003162	750	0.630338	2050.221512
90	0.002430	750	0.056405	2050.277918
91	0.001810	750	0.142346	2050.420264
92	0.001296	750	-0.396452	2050.023812
93	0.000882	750	-0.528759	2049.495053
94	0.000559	750	-0.503912	2048.991141
95	0.000320	750	-0.390956	2048.600186
96	0.000156	750	-0.284496	2048.315690
97	0.000057	750	-0.265376	2048.050314
98	0.000010	750	-0.101688	2047.948626
99	0.000000	750	-0.032216	2047.916411
Log marginal likelihood:	2047.916411
