Steppingstone sampler:
        No Stones:                  100
        Start It:                   1010001
        It Per Stone:               1000
        Sample Freq:                1
        Dist:                       Beta(0.400000,1.000000)
Stone No	Power	N	Stone MLh	Running MLh
0	0.975187	750	-4.831134	-4.831134
1	0.950747	750	-4.767463	-9.598597
2	0.926679	750	-4.726415	-14.325012
3	0.902980	750	-4.625310	-18.950323
4	0.879648	750	-4.543329	-23.493652
5	0.856682	750	-4.472812	-27.966464
6	0.834079	750	-4.418875	-32.385339
7	0.811838	750	-4.348971	-36.734310
8	0.789957	750	-4.285537	-41.019847
9	0.768433	750	-4.221131	-45.240977
10	0.747266	750	-4.135709	-49.376686
11	0.726452	750	-4.066555	-53.443241
12	0.705989	750	-4.009387	-57.452628
13	0.685877	750	-3.954853	-61.407481
14	0.666112	750	-3.850449	-65.257930
15	0.646693	750	-3.808079	-69.066009
16	0.627618	750	-3.769784	-72.835793
17	0.608884	750	-3.672913	-76.508706
18	0.590490	750	-3.641257	-80.149963
19	0.572433	750	-3.559136	-83.709099
20	0.554712	750	-3.508264	-87.217364
21	0.537324	750	-3.416780	-90.634144
22	0.520268	750	-3.406716	-94.040860
23	0.503540	750	-3.312787	-97.353648
24	0.487139	750	-3.260194	-100.613842
25	0.471063	750	-3.184216	-103.798058
26	0.455310	750	-3.124863	-106.922922
27	0.439877	750	-3.087732	-110.010653
28	0.424762	750	-3.011742	-113.022395
29	0.409963	750	-2.935209	-115.957605
30	0.395478	750	-2.892141	-118.849745
31	0.381305	750	-2.876768	-121.726514
32	0.367440	750	-2.816381	-124.542895
33	0.353883	750	-2.750868	-127.293763
34	0.340630	750	-2.653318	-129.947081
35	0.327680	750	-2.611147	-132.558227
36	0.315030	750	-2.542651	-135.100878
37	0.302677	750	-2.510955	-137.611834
38	0.290619	750	-2.463791	-140.075625
39	0.278855	750	-2.381598	-142.457222
40	0.267381	750	-2.326291	-144.783513
41	0.256195	750	-2.269712	-147.053225
42	0.245294	750	-2.229412	-149.282637
43	0.234677	750	-2.182131	-151.464768
44	0.224340	750	-2.129798	-153.594567
45	0.214281	750	-2.086957	-155.681524
46	0.204498	750	-2.034560	-157.716084
47	0.194988	750	-1.991000	-159.707084
48	0.185749	750	-1.910857	-161.617941
49	0.176777	750	-1.890133	-163.508074
50	0.168070	750	-1.851816	-165.359890
51	0.159626	750	-1.786292	-167.146182
52	0.151441	750	-1.723933	-168.870115
53	0.143514	750	-1.711953	-170.582068
54	0.135841	750	-1.630076	-172.212144
55	0.128420	750	-1.612939	-173.825083
56	0.121247	750	-1.570547	-175.395629
57	0.114320	750	-1.528420	-176.924049
58	0.107637	750	-1.448018	-178.372067
59	0.101193	750	-1.428628	-179.800695
60	0.094986	750	-1.380018	-181.180713
61	0.089014	750	-1.335625	-182.516338
62	0.083273	750	-1.290674	-183.807012
63	0.077760	750	-1.237137	-185.044149
64	0.072472	750	-1.232026	-186.276175
65	0.067406	750	-1.169733	-187.445908
66	0.062558	750	-1.148815	-188.594722
67	0.057926	750	-1.096409	-189.691132
68	0.053506	750	-1.035901	-190.727033
69	0.049295	750	-0.981101	-191.708133
70	0.045289	750	-0.955362	-192.663495
71	0.041485	750	-0.920261	-193.583757
72	0.037880	750	-0.865958	-194.449714
73	0.034469	750	-0.852904	-195.302618
74	0.031250	750	-0.798568	-196.101186
75	0.028218	750	-0.742682	-196.843868
76	0.025370	750	-0.728975	-197.572843
77	0.022702	750	-0.666406	-198.239249
78	0.020209	750	-0.620576	-198.859825
79	0.017889	750	-0.605418	-199.465243
80	0.015736	750	-0.555497	-200.020740
81	0.013746	750	-0.508601	-200.529341
82	0.011916	750	-0.482434	-201.011775
83	0.010240	750	-0.428015	-201.439790
84	0.008714	750	-0.402619	-201.842409
85	0.007334	750	-0.370433	-202.212842
86	0.006093	750	-0.326037	-202.538879
87	0.004988	750	-0.292925	-202.831804
88	0.004013	750	-0.253239	-203.085043
89	0.003162	750	-0.233246	-203.318289
90	0.002430	750	-0.201471	-203.519760
91	0.001810	750	-0.166096	-203.685856
92	0.001296	750	-0.138975	-203.824831
93	0.000882	750	-0.109887	-203.934718
94	0.000559	750	-0.086973	-204.021691
95	0.000320	750	-0.065889	-204.087581
96	0.000156	750	-0.044938	-204.132519
97	0.000057	750	-0.026727	-204.159245
98	0.000010	750	-0.012745	-204.171990
99	0.000000	750	-0.002719	-204.174709
Log marginal likelihood:	-204.174709
