Steppingstone sampler:
        No Stones:                  100
        Start It:                   1010001
        It Per Stone:               1000
        Sample Freq:                1
        Dist:                       Beta(0.400000,1.000000)
Stone No	Power	N	Stone MLh	Running MLh
0	0.975187	750	-5.008976	-5.008976
1	0.950747	750	-4.938480	-9.947456
2	0.926679	750	-4.860631	-14.808087
3	0.902980	750	-4.797427	-19.605514
4	0.879648	750	-4.723390	-24.328904
5	0.856682	750	-4.647026	-28.975930
6	0.834079	750	-4.582148	-33.558078
7	0.811838	750	-4.504548	-38.062626
8	0.789957	750	-4.432945	-42.495571
9	0.768433	750	-4.357248	-46.852818
10	0.747266	750	-4.292312	-51.145130
11	0.726452	750	-4.224776	-55.369906
12	0.705989	750	-4.151994	-59.521900
13	0.685877	750	-4.084533	-63.606433
14	0.666112	750	-4.009218	-67.615650
15	0.646693	750	-3.955498	-71.571149
16	0.627618	750	-3.886527	-75.457675
17	0.608884	750	-3.806642	-79.264318
18	0.590490	750	-3.737993	-83.002310
19	0.572433	750	-3.673954	-86.676264
20	0.554712	750	-3.607699	-90.283964
21	0.537324	750	-3.534251	-93.818214
22	0.520268	750	-3.478694	-97.296909
23	0.503540	750	-3.413222	-100.710131
24	0.487139	750	-3.343840	-104.053971
25	0.471063	750	-3.274072	-107.328043
26	0.455310	750	-3.214742	-110.542785
27	0.439877	750	-3.160493	-113.703278
28	0.424762	750	-3.088233	-116.791511
29	0.409963	750	-3.028885	-119.820397
30	0.395478	750	-2.970171	-122.790568
31	0.381305	750	-2.901054	-125.691621
32	0.367440	750	-2.843725	-128.535346
33	0.353883	750	-2.791090	-131.326436
34	0.340630	750	-2.719590	-134.046026
35	0.327680	750	-2.660352	-136.706378
36	0.315030	750	-2.596850	-139.303228
37	0.302677	750	-2.558999	-141.862227
38	0.290619	750	-2.475030	-144.337257
39	0.278855	750	-2.426386	-146.763643
40	0.267381	750	-2.377852	-149.141496
41	0.256195	750	-2.316323	-151.457818
42	0.245294	750	-2.249462	-153.707280
43	0.234677	750	-2.198533	-155.905814
44	0.224340	750	-2.152856	-158.058670
45	0.214281	750	-2.097185	-160.155855
46	0.204498	750	-2.052076	-162.207931
47	0.194988	750	-1.996388	-164.204319
48	0.185749	750	-1.935389	-166.139708
49	0.176777	750	-1.876031	-168.015739
50	0.168070	750	-1.843357	-169.859096
51	0.159626	750	-1.777667	-171.636763
52	0.151441	750	-1.746624	-173.383388
53	0.143514	750	-1.686267	-175.069655
54	0.135841	750	-1.631177	-176.700832
55	0.128420	750	-1.594968	-178.295801
56	0.121247	750	-1.546337	-179.842138
57	0.114320	750	-1.485304	-181.327442
58	0.107637	750	-1.447092	-182.774534
59	0.101193	750	-1.393516	-184.168050
60	0.094986	750	-1.355468	-185.523518
61	0.089014	750	-1.310982	-186.834500
62	0.083273	750	-1.278900	-188.113400
63	0.077760	750	-1.240046	-189.353446
64	0.072472	750	-1.172703	-190.526148
65	0.067406	750	-1.128719	-191.654867
66	0.062558	750	-1.098615	-192.753483
67	0.057926	750	-1.056637	-193.810119
68	0.053506	750	-1.028241	-194.838360
69	0.049295	750	-0.976785	-195.815145
70	0.045289	750	-0.928498	-196.743642
71	0.041485	750	-0.893806	-197.637449
72	0.037880	750	-0.854593	-198.492042
73	0.034469	750	-0.827196	-199.319237
74	0.031250	750	-0.779574	-200.098811
75	0.028218	750	-0.760720	-200.859532
76	0.025370	750	-0.686793	-201.546325
77	0.022702	750	-0.651180	-202.197505
78	0.020209	750	-0.638403	-202.835907
79	0.017889	750	-0.598618	-203.434525
80	0.015736	750	-0.543324	-203.977850
81	0.013746	750	-0.516918	-204.494767
82	0.011916	750	-0.485328	-204.980096
83	0.010240	750	-0.442928	-205.423024
84	0.008714	750	-0.414509	-205.837533
85	0.007334	750	-0.374370	-206.211902
86	0.006093	750	-0.339925	-206.551827
87	0.004988	750	-0.294233	-206.846060
88	0.004013	750	-0.262768	-207.108827
89	0.003162	750	-0.230446	-207.339273
90	0.002430	750	-0.200375	-207.539648
91	0.001810	750	-0.174048	-207.713696
92	0.001296	750	-0.140626	-207.854322
93	0.000882	750	-0.115009	-207.969331
94	0.000559	750	-0.090162	-208.059493
95	0.000320	750	-0.066719	-208.126212
96	0.000156	750	-0.046420	-208.172632
97	0.000057	750	-0.027089	-208.199721
98	0.000010	750	-0.012714	-208.212435
99	0.000000	750	-0.002785	-208.215220
Log marginal likelihood:	-208.215220
